bank,comments,sentiment,date,source
Banco BCR,El proceso de solicitud de préstamo fue rápido Cupiditate ab non.,1,2023-01-01,Twitter
Banco Nacional,La aplicación móvil es fácil de usar Dicta maxime quasi occaecati fugit odio facilis.,1,2023-01-01,Instagram
Banco BCR,Los cargos de la cuenta son demasiado altos Delectus at magni maxime fugiat illo.,0,2023-01-01,Instagram
Banco Popular,La aplicación móvil es fácil de usar Facere perferendis reprehenderit modi.,1,2023-01-02,Instagram
Banco BCR,Los cargos de la cuenta son demasiado altos Modi vero corrupti earum.,0,2023-01-02,Facebook
Banco Nacional,Tengo problemas para acceder a mi cuenta Dolore culpa animi est natus iusto dicta deserunt.,0,2023-01-02,Instagram
Banco Nacional,Tengo problemas para acceder a mi cuenta Voluptate iure aut inventore excepturi aliquid aperiam commodi.,0,2023-01-03,Instagram
Banco Popular,Tengo problemas para acceder a mi cuenta Cupiditate repellat quod eaque soluta ipsum alias.,0,2023-01-03,Facebook
Banco Nacional,El proceso de solicitud de préstamo fue rápido Explicabo nulla sequi error ad.,1,2023-01-03,Facebook
Banco Nacional,Los tiempos de espera en atención al cliente son inaceptables Assumenda tempore temporibus provident.,0,2023-01-04,Facebook
Banco Popular,Los tiempos de espera en atención al cliente son inaceptables Placeat repellat officia voluptatem.,0,2023-01-04,Instagram
Banco Nacional,Los tiempos de espera en atención al cliente son inaceptables Praesentium harum in repellendus temporibus.,0,2023-01-04,Twitter
Banco BCR,Los cargos de la cuenta son demasiado altos In provident accusantium consectetur temporibus repellat nulla.,0,2023-01-05,Facebook
Banco Nacional,La aplicación móvil es fácil de usar Iusto velit aliquid eveniet ut.,1,2023-01-05,Facebook
Banco Nacional,Los cargos de la cuenta son demasiado altos Labore laboriosam accusamus debitis commodi eveniet minima.,0,2023-01-05,Instagram
Banco Popular,Excelente servicio al cliente Optio nostrum hic inventore quos asperiores eos repudiandae.,1,2023-01-06,Instagram
Banco Nacional,El proceso de solicitud de préstamo fue rápido Nesciunt nobis consequatur quam deserunt accusamus nihil.,1,2023-01-06,Instagram
